symbol,close,change_5d,change_20d,vol_ratio,momentum,liquidity,volatility,trend_ma,vol_score,ema_score,stoch_score,final_score
301618,381.0,180.15,255.38,3.83,140.1,61.6,-4.0,80,70,80,55,80.4
001279,178.01,158.14,241.67,3.57,129.1,63.4,2.6,80,70,80,55,79.8
300940,106.03,103.08,93.49,2.19,101.5,61.4,19.1,80,70,80,55,77.6
300946,141.6,98.79,111.44,2.63,99.4,61.3,20.4,80,70,80,55,77.5
301487,98.02,131.07,60.53,2.08,115.5,60.5,10.7,60,70,80,55,77.0
603072,48.0,22.04,34.3,1.94,61.0,62.0,43.4,80,70,70,75,76.8
300881,78.0,78.82,115.47,1.9,89.4,60.6,26.4,80,70,80,55,76.7
300879,69.99,74.19,109.18,2.31,87.1,61.4,27.7,80,70,80,55,76.6
301557,89.99,5.02,14.42,3.79,52.5,59.7,48.5,60,70,80,75,76.4
301522,79.85,62.07,79.96,3.45,81.0,63.5,31.4,80,70,80,55,76.3
603257,99.9,65.1,105.89,2.82,82.5,60.8,30.5,80,70,80,55,76.2
603382,55.97,63.56,77.51,3.11,81.8,60.5,30.9,80,70,80,55,76.1
300498,55.31,-1.41,9.72,2.17,49.3,60.4,49.6,60,70,80,75,76.1
600543,10.72,-0.46,9.39,4.35,49.8,57.6,49.9,60,70,80,75,76.0
603082,46.4,59.4,14.0,2.02,79.7,60.3,32.2,80,70,80,55,76.0
001378,75.98,57.08,78.23,3.88,78.5,61.4,32.9,80,70,80,55,76.0
001328,56.64,58.83,76.78,2.57,79.4,61.0,32.3,80,70,80,55,76.0
301613,117.28,50.34,67.16,3.95,75.2,61.8,34.9,80,70,80,55,75.8
001356,23.28,51.46,58.04,2.28,75.7,61.9,34.6,80,70,80,55,75.8
301248,42.75,53.78,40.67,2.55,76.9,59.3,33.9,80,70,80,55,75.7
301631,206.99,47.81,67.52,3.28,73.9,61.7,35.7,80,70,80,55,75.7
603124,74.5,50.84,80.39,3.04,75.4,61.3,34.7,80,70,80,55,75.7
002051,31.97,52.46,97.83,1.99,76.2,59.6,34.3,80,70,80,55,75.7
300872,76.53,46.75,46.19,2.21,73.4,61.6,36.0,80,70,80,55,75.6
300784,127.0,46.47,108.74,2.66,73.2,61.0,36.1,80,70,80,55,75.6
002139,60.0,52.4,40.45,1.52,76.2,58.7,34.3,80,70,80,55,75.6
301533,75.5,45.19,73.48,4.11,72.6,60.5,36.4,80,70,80,55,75.5
301222,59.18,47.95,59.09,2.75,74.0,59.9,35.6,80,70,80,55,75.5
301585,73.0,45.36,74.64,2.33,72.7,60.4,36.4,80,70,80,55,75.5
603376,64.45,44.31,68.15,3.47,72.2,61.1,36.7,80,70,80,55,75.5
301418,100.18,44.66,59.02,2.75,72.3,60.7,36.6,80,70,80,55,75.5
300928,87.03,46.76,63.1,2.76,73.4,60.2,36.0,80,70,80,55,75.5
300967,30.95,46.68,63.76,2.85,73.3,60.1,36.0,80,70,80,55,75.5
301026,97.45,40.36,28.17,3.02,70.2,61.5,37.9,80,70,80,55,75.4
601728,6.11,29.72,34.88,4.43,64.9,66.5,41.1,80,70,80,55,75.4
301565,38.98,41.18,83.0,2.56,70.6,61.3,37.6,80,70,80,55,75.4
301123,49.33,42.33,44.45,3.27,71.2,61.4,37.3,80,70,80,55,75.4
300998,44.8,44.89,44.7,2.57,72.4,59.5,36.5,80,70,80,55,75.4
603194,54.08,41.42,51.57,2.96,70.7,61.8,37.6,80,70,80,55,75.4
301502,59.97,48.07,31.14,2.62,74.0,59.0,35.6,80,70,80,55,75.4
301229,65.22,43.94,52.78,1.95,72.0,59.6,36.8,80,70,80,55,75.3
300963,50.11,42.32,32.04,2.25,71.2,59.8,37.3,80,70,80,55,75.3
301113,66.66,42.5,54.88,4.14,71.2,59.8,37.3,80,70,80,55,75.3
301608,94.0,41.87,80.01,2.37,70.9,60.5,37.4,80,70,80,55,75.3
301258,66.52,40.66,58.91,2.31,70.3,59.8,37.8,80,70,80,55,75.3
301101,67.09,38.73,29.52,3.57,69.4,60.9,38.4,80,70,80,55,75.3
301070,46.85,44.6,41.41,2.17,72.3,58.2,36.6,80,70,80,55,75.3
601133,24.56,37.44,63.62,2.95,68.7,61.4,38.8,80,70,80,55,75.3
301556,130.51,39.06,35.98,2.72,69.5,61.7,38.3,80,70,80,55,75.3
300889,64.12,38.67,39.91,2.73,69.3,61.0,38.4,80,70,80,55,75.3
